Security Code,Security Name,Industry,For Quarter Ending,XBRL
543954,Allcargo Terminals Ltd,Port & Port services,28 Jul 2023,
530343,GENUS POWER INFRASTRUCTURES LTD.-$,Other Electrical Equipment,30 Jun 2023,
539798,Umiya Tubes Ltd,Iron & Steel Products,June 2023,
511730,Avasara Finance Ltd,Non Banking Financial Company (NBFC),June 2023,
530715,ALPS INDUSTRIES LTD.,Other Textile Products,30 Jun 2023,
504220,W.S.INDUSTRIES (INDIA) LTD.-$,Industrial Products,09 Aug 2023,
532372,Virinchi Ltd,Software Products,09 Aug 2023,
521018,MARAL OVERSEAS LTD.,Other Textile Products,30 Jun 2023,
526729,GOLDIAM INTERNATIONAL LTD.,"Gems, Jewellery And Watches",11 Aug 2023,
531035,Justride Enterprises Ltd,2/3 Wheelers,30 Jun 2023,
505032,AUTOMOBILE PRODUCTS OF INDIA LTD.,Auto Components & Equipments,31 Mar 2023,
539837,Raghav Productivity Enhancers Ltd,Electrodes & Refractories,18 Aug 2023,
539837,Raghav Productivity Enhancers Ltd,Electrodes & Refractories,09 Aug 2023,
